==PROF== Connected to process 2290 (/usr/bin/python3.10)
[TensorRT-LLM] TensorRT-LLM version: 0.14.0
[TensorRT-LLM][INFO] Engine version 0.14.0 found in the config file, assuming engine(s) built by new builder API.
[TensorRT-LLM][INFO] MPI size: 1, MPI local size: 1, rank: 0
[TensorRT-LLM][INFO] Engine version 0.14.0 found in the config file, assuming engine(s) built by new builder API.
[TensorRT-LLM][INFO] Refreshed the MPI local session
[TensorRT-LLM][INFO] MPI size: 1, MPI local size: 1, rank: 0
[TensorRT-LLM][INFO] Rank 0 is using GPU 0
[TensorRT-LLM][INFO] TRTGptModel maxNumSequences: 64
[TensorRT-LLM][INFO] TRTGptModel maxBatchSize: 64
[TensorRT-LLM][INFO] TRTGptModel maxBeamWidth: 1
[TensorRT-LLM][INFO] TRTGptModel maxSequenceLen: 8192
[TensorRT-LLM][INFO] TRTGptModel maxDraftLen: 0
[TensorRT-LLM][INFO] TRTGptModel mMaxAttentionWindowSize: (8192) * 24
[TensorRT-LLM][INFO] TRTGptModel enableTrtOverlap: 0
[TensorRT-LLM][INFO] TRTGptModel normalizeLogProbs: 1
[TensorRT-LLM][INFO] TRTGptModel maxNumTokens: 8192
[TensorRT-LLM][INFO] TRTGptModel maxInputLen: 8191 = min(maxSequenceLen - 1, maxNumTokens) since context FMHA and usePackedInput are enabled
[TensorRT-LLM][INFO] TRTGptModel If model type is encoder, maxInputLen would be reset in trtEncoderModel to maxInputLen: min(maxSequenceLen, maxNumTokens).
[TensorRT-LLM][INFO] Capacity Scheduler Policy: GUARANTEED_NO_EVICT
[TensorRT-LLM][INFO] Context Chunking Scheduler Policy: None
[TensorRT-LLM][INFO] Loaded engine size: 709 MiB
[TensorRT-LLM][INFO] [MemUsageChange] Allocated 256.20 MiB for execution context memory.
[TensorRT-LLM][INFO] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +0, now: CPU 0, GPU 703 (MiB)
[TensorRT-LLM][INFO] [MemUsageChange] Allocated 30.58 MB GPU memory for runtime buffers.
[TensorRT-LLM][INFO] [MemUsageChange] Allocated 103.75 MB GPU memory for decoder.
[TensorRT-LLM][INFO] Memory usage when calculating max tokens in paged kv cache: total: 22.03 GiB, available: 3.21 GiB
[TensorRT-LLM][INFO] Number of blocks in KV cache primary pool: 2633
[TensorRT-LLM][INFO] Number of blocks in KV cache secondary pool: 0, onboard blocks to primary memory before reuse: true
[TensorRT-LLM][INFO] Max KV cache pages per sequence: 128
[TensorRT-LLM][INFO] Number of tokens per block: 64.
[TensorRT-LLM][INFO] [MemUsageChange] Allocated 0.96 GiB for max tokens in paged KV cache (168512).
[TensorRT-LLM][INFO] Enable MPI KV cache transport.
[TensorRT-LLM][INFO] Refreshed the MPI local session
[decode_probe] engine=engines/qwen2.5-0.5b-int4awq  steps=16  total=267528.1ms  ITL=16720.508 ms/token  (0.1 tok/s, batch=1)
==PROF== Disconnected from process 2290
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"32","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","19.05"
"32","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","11168"
"32","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","6.43"
"33","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","487936"
"33","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","16.45"
"33","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","9984"
"33","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","5.62"
"34","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2578048"
"34","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","51.17"
"34","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","16896"
"34","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","17.91"
"35","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2580352"
"35","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","53.39"
"35","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","16192"
"35","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","18.68"
"36","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2627200"
"36","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","42.25"
"36","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","20864"
"36","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","11.78"
"37","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","625792"
"37","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","19.24"
"37","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","10944"
"37","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","6.58"
"38","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","491904"
"38","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","16.45"
"38","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","10080"
"38","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","5.55"
"39","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2573312"
"39","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","52.88"
"39","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","16384"
"39","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","18.30"
"40","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2570624"
"40","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","51.61"
"40","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","16704"
"40","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","18.08"
"41","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2632704"
"41","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","41.85"
"41","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","21088"
"41","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","11.63"
"42","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","625920"
"42","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","19.44"
"42","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","10816"
"42","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 1, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 36, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","6.63"
"43","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","488832"
"43","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","16.86"
"43","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","9792"
"43","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 28, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","5.69"
"44","2290","python3.10","127.0.0.1","void tensorrt_llm::kernel<tensorrt_llm::KernelDetails<tensorrt_llm::FP16DetailsA, tensorrt_llm::Int4DetailsW, tensorrt_llm::ColumnMajorInterleaved, 1, 64>, 1, 8, 128, 128, 1, 0, 0, 0, __half>(T10 *, T10 *, unsigned char *, T10 *, T10 *, T10 *, T10 *, float, int, int, int)","1","13","(128, 1, 1)","(1, 152, 1)","0","8.9","Command line profiler metrics","dram__bytes.sum","byte","2568448"
